tax	ZYMO_EVEN	ZYMO_LOG	total
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus_sp._DIV0774	168	0	168
d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia_marmotae	165	0	165
d__Eukaryota;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Lamiales	34	131	165
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus	163	0	163
d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae	0	153	153
d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales	0	153	153
d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Betaproteobacteria	0	153	153
d__Eukaryota;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Lamiales;f__Lamiaceae	34	118	152
d__Eukaryota;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Lamiales;f__Lamiaceae;g__Salvia	34	118	152
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Caryophanales;f__Listeriaceae;g__Listeria;s__Listeria_sp._PSOL-1	0	151	151
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Caryophanales;f__Bacillaceae;g__Bacillus;s__Bacillus_stercoris	117	33	150
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus_delbrueckii	148	0	148
d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia_sp._E4742	147	0	147
d__Eukaryota;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Caryophyllales	0	140	140
d__Eukaryota;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Caryophyllales;f__Amaranthaceae	0	140	140
d__Eukaryota;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Caryophyllales;f__Amaranthaceae;g__Amaranthus;s__Amaranthus_tricolor	0	140	140
d__Eukaryota;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Caryophyllales;f__Amaranthaceae;g__Amaranthus	0	140	140
d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Citrobacter;s__Citrobacter_freundii	137	0	137
d__Eukaryota;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Malvales	0	135	135
d__Eukaryota;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Malvales;f__Malvaceae;g__Gossypium	0	135	135
d__Eukaryota;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Malvales;f__Malvaceae;g__Gossypium;s__Gossypium_hirsutum	0	135	135
d__Eukaryota;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Malvales;f__Malvaceae	0	135	135
d__Eukaryota;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Brassicales;f__Brassicaceae;g__Brassica;s__Brassica_rapa	0	133	133
d__Eukaryota;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Brassicales;f__Brassicaceae;g__Brassica	0	133	133
d__Eukaryota;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Brassicales;f__Brassicaceae	0	133	133
d__Eukaryota;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Brassicales	0	133	133
d__Eukaryota;k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Cryptococcaceae;g__Cryptococcus;s__Cryptococcus_gattii	132	0	132
d__Eukaryota;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Lamiales;f__Lamiaceae;g__Salvia;s__Salvia_splendens	34	94	128
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactiplantibacillus;s__Lactiplantibacillus_plantarum	110	16	126
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactiplantibacillus	110	16	126
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Caryophanales;f__Listeriaceae;g__Paenilisteria	0	116	116
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Caryophanales;f__Listeriaceae;g__Paenilisteria;s__Paenilisteria_weihenstephanensis	0	116	116
d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas_putida	0	113	113
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Caryophanales;f__Listeriaceae;g__Listeria;s__Listeria_aquatica	0	109	109
d__Eukaryota;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Solanales;f__Solanaceae;g__Lycium;s__Lycium_ferocissimum	0	108	108
d__Eukaryota;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Solanales;f__Solanaceae;g__Lycium	0	108	108
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Caryophanales;f__Bacillaceae;g__Bacillus;s__Bacillus_safensis	73	31	104
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Caryophanales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus_epidermidis	65	29	94
d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Alcaligenes	0	89	89
d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Alcaligenes;s__Alcaligenes_faecalis	0	89	89
d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Nitrobacteraceae;g__Bradyrhizobium	0	87	87
d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Nitrobacteraceae;g__Bradyrhizobium;s__Bradyrhizobium_sp._WCU1	0	87	87
d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Alphaproteobacteria	0	87	87
d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales	0	87	87
d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Nitrobacteraceae	0	87	87
d__Eukaryota;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Solanales;f__Solanaceae;g__Capsicum;s__Capsicum_annuum	57	30	87
d__Eukaryota;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Solanales;f__Solanaceae;g__Capsicum	57	30	87
d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Gammaproteobacteria;o__Moraxellales;f__Moraxellaceae;g__Acinetobacter	0	86	86
d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Gammaproteobacteria;o__Moraxellales;f__Moraxellaceae	0	86	86
d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Gammaproteobacteria;o__Moraxellales	0	86	86
d__Eukaryota;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Asparagales;f__Asparagaceae	0	83	83
d__Eukaryota;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Asparagales	0	83	83
d__Eukaryota;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Asparagales;f__Asparagaceae;g__Asparagus	0	83	83
d__Eukaryota;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Asparagales;f__Asparagaceae;g__Asparagus;s__Asparagus_officinalis	0	83	83
d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter_sp._638	81	0	81
d__Eukaryota;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Vitales;f__Vitaceae;g__Vitis	26	51	77
d__Eukaryota;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Vitales	26	51	77
d__Eukaryota;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Vitales;f__Vitaceae;g__Vitis;s__Vitis_riparia	26	51	77
d__Eukaryota;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Vitales;f__Vitaceae	26	51	77
d__Eukaryota;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Fabales;f__Fabaceae;g__Cajanus	0	75	75
d__Eukaryota;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Fabales;f__Fabaceae;g__Cajanus;s__Cajanus_cajan	0	75	75
d__Eukaryota;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Myrtales	0	73	73
d__Eukaryota;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Myrtales;f__Lythraceae;g__Punica;s__Punica_granatum	0	73	73
d__Eukaryota;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Myrtales;f__Lythraceae;g__Punica	0	73	73
d__Eukaryota;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Myrtales;f__Lythraceae	0	73	73
d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas_nitroreducens	0	72	72
d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Gammaproteobacteria;o__Moraxellales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter_guillouiae	0	70	70
d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter_cloacae	70	0	70
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Caryophanales;f__Bacillaceae;g__Bacillus;s__Bacillus_sp._JS	70	0	70
d__Eukaryota;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Poales;f__Poaceae	0	70	70
d__Eukaryota;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Poales	0	70	70
d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas_sp._PDNC002	0	66	66
d__Eukaryota;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Fagales;f__Betulaceae;g__Alnus;s__Alnus_glutinosa	0	65	65
d__Eukaryota;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Fagales;f__Betulaceae;g__Alnus	0	65	65
d__Eukaryota;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Fagales;f__Betulaceae	0	65	65
d__Eukaryota;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Fabales;f__Fabaceae;g__Arachis;s__Arachis_stenosperma	0	63	63
d__Eukaryota;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Fabales;f__Fabaceae;g__Arachis	0	63	63
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Weissella;s__Weissella_paramesenteroides	63	0	63
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Weissella	63	0	63
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Caryophanales;f__Bacillaceae;g__Psychrobacillus;s__Psychrobacillus_sp._L4	0	63	63
d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Kerstersia;s__Kerstersia_gyiorum	0	63	63
d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Kerstersia	0	63	63
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Caryophanales;f__Bacillaceae;g__Psychrobacillus	0	63	63
d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas_chlororaphis	0	62	62
d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas_sp._SCB32	0	59	59
d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas_sp._QE6	0	55	55
d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas_triclosanedens	0	53	53
d__Eukaryota;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Proteales	0	52	52
d__Eukaryota;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Proteales;f__Proteaceae;g__Macadamia	0	52	52
d__Eukaryota;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Proteales;f__Proteaceae	0	52	52
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Caryophanales;f__Bacillaceae;g__Bacillus;s__Bacillus_sp._K7	52	0	52
d__Eukaryota;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Proteales;f__Proteaceae;g__Macadamia;s__Macadamia_integrifolia	0	52	52
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Caryophanales;f__Bacillaceae;g__Bacillus;s__Bacillus_mycoides	27	25	52
d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas_sp._ATCC_13867	0	50	50
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Caryophanales;f__Bacillaceae;g__Halobacillus	0	49	49
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Caryophanales;f__Bacillaceae;g__Halobacillus;s__Halobacillus_shinanisalinarum	0	49	49
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Caryophanales;f__Bacillaceae;g__Bacillus;s__Bacillus_altitudinis	0	48	48
d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas_syringae	0	48	48
d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Kluyvera;s__Kluyvera_cryocrescens	0	48	48
d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Kluyvera	0	48	48
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus_sp._DIV0212c	47	0	47
d__Eukaryota;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Ranunculales;f__Papaveraceae;g__Papaver	0	46	46
d__Eukaryota;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Ranunculales	0	46	46
d__Eukaryota;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Ranunculales;f__Papaveraceae	0	46	46
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Caryophanales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus_lugdunensis	46	0	46
d__Eukaryota;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Ranunculales;f__Papaveraceae;g__Papaver;s__Papaver_somniferum	0	46	46
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Caryophanales;f__Bacillaceae;g__Bacillus;s__Bacillus_gobiensis	30	14	44
d__Eukaryota;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Cucurbitales;f__Cucurbitaceae;g__Cucurbita	0	44	44
d__Eukaryota;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Cucurbitales	0	44	44
d__Eukaryota;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Cucurbitales;f__Cucurbitaceae;g__Cucurbita;s__Cucurbita_pepo	0	44	44
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus_sp._AMC1251	44	0	44
d__Eukaryota;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Cucurbitales;f__Cucurbitaceae	0	44	44
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Caryophanales;f__Bacillaceae;g__Bacillus;s__Bacillus_paranthracis	0	42	42
d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella_ornithinolytica	42	0	42
d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas_sp._PVC-3-1	0	41	41
d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas_sp._BB438	0	41	41
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Caryophanales;f__Bacillaceae;g__Bacillus;s__Bacillus_siamensis	0	39	39
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Caryophanales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus_caprae	39	0	39
d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas_sp._GCEP-101	0	37	37
d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Phytobacter	0	36	36
d__Eukaryota;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Poales;f__Poaceae;g__Panicum	0	36	36
d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Phytobacter;s__Phytobacter_cepae	0	36	36
d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas_sp._B12(2026)	0	36	36
d__Eukaryota;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Poales;f__Poaceae;g__Panicum;s__Panicum_hallii	0	36	36
d__Eukaryota;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Fabales;f__Fabaceae;g__Phaseolus;s__Phaseolus_vulgaris	0	35	35
d__Eukaryota;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Fabales;f__Fabaceae;g__Phaseolus	0	35	35
d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Citrobacter;s__Citrobacter_werkmanii	34	0	34
d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas_sp._YH-1	0	34	34
d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas_sp._Q1-7	0	34	34
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Caryophanales;f__Bacillaceae;g__Bacillus;s__Bacillus_sp._BACIII	33	0	33
d__Eukaryota;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Poales;f__Poaceae;g__Hordeum;s__Hordeum_vulgare	0	33	33
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus_sp._AMC1252	33	0	33
d__Eukaryota;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Poales;f__Poaceae;g__Hordeum	0	33	33
d__Eukaryota;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Fabales;f__Fabaceae;g__Vicia	0	31	31
d__Eukaryota;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Fabales;f__Fabaceae;g__Vicia;s__Vicia_villosa	0	31	31
d__Eukaryota;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Apiales;f__Apiaceae;g__Apium;s__Apium_graveolens	0	30	30
d__Eukaryota;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Apiales;f__Apiaceae	0	30	30
d__Eukaryota;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Apiales;f__Apiaceae;g__Apium	0	30	30
d__Eukaryota;p__Apicomplexa;c__Aconoidasida;o__Haemosporida;f__Plasmodiidae;g__Plasmodium;s__Plasmodium_cynomolgi	0	30	30
d__Eukaryota;p__Apicomplexa	0	30	30
d__Eukaryota;p__Apicomplexa;c__Aconoidasida;o__Haemosporida;f__Plasmodiidae	0	30	30
d__Eukaryota;p__Apicomplexa;c__Aconoidasida;o__Haemosporida	0	30	30
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus_raffinosus	30	0	30
d__Eukaryota;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Apiales	0	30	30
d__Eukaryota;p__Apicomplexa;c__Aconoidasida	0	30	30
d__Eukaryota;p__Apicomplexa;c__Aconoidasida;o__Haemosporida;f__Plasmodiidae;g__Plasmodium	0	30	30
d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas_nicosulfuronedens	0	29	29
d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella_michiganensis	29	0	29
d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas_protegens	0	29	29
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus_sp._22-H-5-01	28	0	28
d__Eukaryota;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Fabales;f__Fabaceae;g__Cicer	0	28	28
d__Eukaryota;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Fabales;f__Fabaceae;g__Cicer;s__Cicer_arietinum	0	28	28
d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas_tohonis	0	27	27
d__Eukaryota;k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Cryptococcaceae;g__Kwoniella	26	0	26
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Candidatus_Enterococcus_clewellii	26	0	26
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Caryophanales;f__Bacillaceae;g__Bacillus;s__Bacillus_sp._SRL337	25	0	25
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus_thermophilus	13	12	25
d__Eukaryota;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Malpighiales;f__Euphorbiaceae	0	24	24
d__Eukaryota;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Malpighiales;f__Euphorbiaceae;g__Euphorbia	0	24	24
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Caryophanales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus_capitis	24	0	24
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Caryophanales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus_cohnii	24	0	24
d__Eukaryota;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Malpighiales	0	24	24
d__Eukaryota;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Malpighiales;f__Euphorbiaceae;g__Euphorbia;s__Euphorbia_lathyris	0	24	24
d__Eukaryota;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Lamiales;f__Lamiaceae;g__Salvia;s__Salvia_miltiorrhiza	0	24	24
d__Bacteria;k__Bacillati;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Clostridiaceae	0	22	22
d__Bacteria;k__Bacillati;p__Bacillota;c__Clostridia;o__Eubacteriales	0	22	22
d__Bacteria;k__Bacillati;p__Bacillota;c__Clostridia	0	22	22
d__Bacteria;k__Bacillati;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium	0	22	22
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus_sp._DIV0210g	22	0	22
d__Bacteria;k__Bacillati;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium_perfringens	0	22	22
d__Eukaryota;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Ericales;f__Ebenaceae	0	21	21
d__Eukaryota;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Ericales;f__Ebenaceae;g__Diospyros	0	21	21
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Caryophanales;f__Bacillaceae;g__Bacillus;s__Bacillus_toyonensis	0	21	21
d__Eukaryota;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Ericales;f__Ebenaceae;g__Diospyros;s__Diospyros_lotus	0	21	21
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus_devriesei	20	0	20
d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas_benzenivorans	0	20	20
d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Trabulsiella;s__Trabulsiella_odontotermitis	19	0	19
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Caryophanales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus_debuckii	19	0	19
d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Trabulsiella	19	0	19
d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter_ludwigii	18	0	18
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Companilactobacillus	18	0	18
