# Program:featureCounts v2.1.1; Command:"featureCounts" "-T" "8" "-p" "-s" "2" "-t" "CDS" "-g" "locus_tag" "--countReadPairs" "-a" "results/00_REFERENCE/bakta/reference_filtered.gff3" "-o" "results/04_COUNTS/counts.tsv" "results/02_MAPPING/CTRL_D1_R1/CTRL_D1_R1.sorted.bam" "results/02_MAPPING/CTRL_D1_R2/CTRL_D1_R2.sorted.bam" "results/02_MAPPING/CTRL_D1_R3/CTRL_D1_R3.sorted.bam" "results/02_MAPPING/PU239_D1_R1/PU239_D1_R1.sorted.bam" "results/02_MAPPING/PU239_D1_R2/PU239_D1_R2.sorted.bam" "results/02_MAPPING/PU239_D1_R3/PU239_D1_R3.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	results/02_MAPPING/CTRL_D1_R1/CTRL_D1_R1.sorted.bam	results/02_MAPPING/CTRL_D1_R2/CTRL_D1_R2.sorted.bam	results/02_MAPPING/CTRL_D1_R3/CTRL_D1_R3.sorted.bam	results/02_MAPPING/PU239_D1_R1/PU239_D1_R1.sorted.bam	results/02_MAPPING/PU239_D1_R2/PU239_D1_R2.sorted.bam	results/02_MAPPING/PU239_D1_R3/PU239_D1_R3.sorted.bam
IODOLM_00933	contig_1	996565	997182	+	618	2	130	110	133	106	316
IODOLM_00934	contig_1	997184	998047	+	864	13	524	292	305	295	695
IODOLM_00935	contig_1	998082	998708	-	627	16	710	495	1167	894	1757
IODOLM_00936	contig_1	999022	1000170	+	1149	77	2488	1343	915	900	2337
IODOLM_00937	contig_1	1000380	1001810	+	1431	2	92	66	113	144	333
IODOLM_00938	contig_1	1001811	1002719	-	909	4	135	70	206	187	555
IODOLM_00939	contig_1	1002819	1003409	+	591	0	28	14	39	53	90
IODOLM_00940	contig_1	1003491	1004231	-	741	128	5113	2725	1740	1511	3950
IODOLM_00941	contig_1	1004423	1006705	-	2283	3059	135893	86995	87391	73332	137069
IODOLM_00942	contig_1	1006760	1007617	-	858	413	10091	6995	9378	7187	16395
IODOLM_00943	contig_1	1008023	1009783	-	1761	84	3174	2397	2609	2461	4345
IODOLM_00944	contig_1	1009913	1010605	+	693	18	292	161	456	417	995
IODOLM_00945	contig_1	1010804	1011892	+	1089	710	21253	12644	9639	9527	18285
IODOLM_00946	contig_1	1011963	1013246	+	1284	476	9803	6223	3630	3699	6818
IODOLM_00947	contig_1	1013415	1014179	+	765	2	132	73	113	94	223
IODOLM_00948	contig_1	1014352	1015035	+	684	177	8260	5310	6988	6253	15214
IODOLM_00949	contig_1	1015146	1016819	+	1674	4985	173112	116295	148181	142755	267906
IODOLM_00950	contig_1	1016979	1017263	+	285	124	4753	3224	6249	5992	13780
IODOLM_00951	contig_1	1017471	1019735	+	2265	14	539	299	371	297	885
IODOLM_00952	contig_1	1019772	1021520	+	1749	293	8884	5868	3957	3671	7967
IODOLM_00953	contig_1	1021517	1022503	+	987	131	3370	2134	1138	975	2421
IODOLM_00954	contig_1	1022540	1023772	+	1233	62	1376	853	527	451	1038
IODOLM_00955	contig_1	1023824	1024006	+	183	14	820	455	288	270	674
IODOLM_00956	contig_1	1024003	1024749	+	747	67	2891	1706	1055	1021	2311
IODOLM_00957	contig_1	1024903	1025796	+	894	152	3021	1737	1348	1180	2706
IODOLM_00958	contig_1	1025773	1026552	-	780	16	379	254	198	194	417
IODOLM_00959	contig_1	1026688	1027473	+	786	77	1893	1132	779	744	1617
IODOLM_00960	contig_1	1027470	1028792	+	1323	225	4674	2900	910	911	2213
IODOLM_00961	contig_1	1028773	1029477	+	705	100	2303	1643	691	693	1709
IODOLM_00962	contig_1	1029477	1033937	+	4461	684	17384	11986	6394	6085	13860
IODOLM_00963	contig_1	1034198	1036045	+	1848	119	3329	1828	5658	4398	11165
IODOLM_00964	contig_1	1036226	1036774	+	549	363	6723	4143	5097	5156	11305
IODOLM_00965	contig_1	1036801	1037448	+	648	384	8128	4908	4647	4610	9476
IODOLM_00966	contig_1	1037670	1038860	-	1191	261	12118	7024	6203	6293	11485
IODOLM_00967	contig_1	1039045	1040133	-	1089	727	11696	6510	4673	4055	8593
IODOLM_00968	contig_1	1040736	1042136	-	1401	1058	30455	19112	14891	14294	31373
IODOLM_00969	contig_1	1042305	1043507	-	1203	439	20399	13084	6885	6556	14909
IODOLM_00970	contig_1	1043773	1046385	+	2613	258	10640	6782	5603	5561	13011
IODOLM_00971	contig_1	1046428	1047195	-	768	14	249	139	168	87	263
IODOLM_00972	contig_1	1047192	1047983	-	792	2	61	23	65	31	72
IODOLM_00973	contig_1	1047994	1049139	-	1146	2	69	47	161	63	205
IODOLM_00974	contig_1	1049136	1050095	-	960	0	31	28	138	58	158
IODOLM_00975	contig_1	1050088	1050663	-	576	2	18	11	102	49	162
IODOLM_00976	contig_1	1051019	1051558	+	540	1	21	13	40	39	125
IODOLM_00977	contig_1	1051641	1052342	+	702	0	7	3	17	23	29
IODOLM_00978	contig_1	1052367	1054967	+	2601	4	166	84	130	135	274
IODOLM_00979	contig_1	1054958	1056028	+	1071	4	160	98	105	97	262
IODOLM_00980	contig_1	1056040	1056582	+	543	2	58	18	33	31	93
IODOLM_00981	contig_1	1056542	1057105	+	564	5	104	59	43	32	102
IODOLM_00982	contig_1	1057119	1057808	+	690	8	176	93	93	83	254
IODOLM_00983	contig_1	1057919	1058929	+	1011	9	482	310	603	621	1121
IODOLM_00984	contig_1	1059103	1059645	+	543	20	562	316	1789	1922	4869
IODOLM_00985	contig_1	1059642	1060751	-	1110	84	2378	1420	1689	1579	3358
IODOLM_00986	contig_1	1060995	1063103	+	2109	138	4154	2585	2338	2191	5212
IODOLM_00987	contig_1	1063115	1065022	+	1908	259	5415	3503	3899	3354	7697
IODOLM_00988	contig_1	1065152	1066405	+	1254	51	1261	696	1344	1186	2856
IODOLM_00989	contig_1	1066410	1068050	+	1641	98	2195	1348	1717	1582	3999
IODOLM_00990	contig_1	1068047	1068610	+	564	53	1042	601	814	745	1657
IODOLM_00991	contig_1	1068866	1069033	+	168	6050	152528	56673	10912	12801	29857
IODOLM_00992	contig_1	1069103	1069729	-	627	182	4384	2589	5003	5386	12248
IODOLM_00993	contig_1	1069690	1071450	-	1761	171	5537	3544	2972	2542	5837
IODOLM_00994	contig_1	1071636	1072088	+	453	26	779	484	464	409	972
IODOLM_00995	contig_1	1072164	1073204	-	1041	1937	66499	44638	147188	118606	226832
IODOLM_00996	contig_1	1073561	1074070	-	510	5	357	188	383	339	922
IODOLM_00997	contig_1	1074289	1074918	+	630	52	727	441	448	424	941
IODOLM_00998	contig_1	1074881	1077043	-	2163	91	4012	2604	1655	1539	3459
IODOLM_00999	contig_1	1077053	1077499	-	447	15	792	540	624	673	1207
IODOLM_01000	contig_1	1077622	1079676	+	2055	137	3309	1988	1105	1022	2347
IODOLM_01001	contig_1	1079708	1080166	-	459	53	1133	582	719	677	1621
IODOLM_01002	contig_1	1080262	1080924	-	663	3	136	75	298	237	613
IODOLM_01003	contig_1	1081097	1081510	+	414	44	1772	964	1279	1205	2495
IODOLM_01004	contig_1	1081555	1081872	-	318	255	11153	6089	7653	8200	17163
IODOLM_01005	contig_1	1081930	1083105	-	1176	78	2062	1108	1316	1225	2559
IODOLM_01006	contig_1	1083215	1083493	+	279	23	640	307	264	251	575
IODOLM_01007	contig_1	1083490	1083819	-	330	22	862	510	261	225	490
IODOLM_01008	contig_1	1083910	1084569	-	660	278	11620	6021	2727	2529	4725
IODOLM_01009	contig_1	1085290	1086408	+	1119	10	278	122	173	166	538
IODOLM_01010	contig_1	1086405	1088198	+	1794	11	532	240	144	143	417
IODOLM_01011	contig_1	1088217	1088924	+	708	9	243	101	82	86	225
IODOLM_01012	contig_1	1088921	1089508	+	588	11	248	116	87	85	284
IODOLM_01013	contig_1	1089505	1089903	+	399	10	149	90	47	57	157
IODOLM_01014	contig_1	1089900	1090757	+	858	5	330	136	133	97	366
IODOLM_01015	contig_1	1090891	1092435	+	1545	16	454	279	759	725	1657
IODOLM_01016	contig_1	1092447	1093583	+	1137	13	446	242	493	511	1115
IODOLM_01017	contig_1	1093596	1093688	+	93	1	43	25	26	34	78
IODOLM_01018	contig_1	1093768	1095066	+	1299	21	861	495	518	497	1169
IODOLM_01019	contig_1	1095181	1097361	-	2181	41	973	520	833	766	1999
IODOLM_01020	contig_1	1097381	1097827	-	447	0	57	24	60	56	162
IODOLM_01021	contig_1	1097815	1098954	-	1140	3	120	53	196	162	495
IODOLM_01022	contig_1	1099000	1101096	-	2097	6	80	54	202	146	451
IODOLM_01023	contig_1	1101096	1101842	-	747	0	18	11	97	79	233
IODOLM_01024	contig_1	1101839	1102483	-	645	1	19	7	88	92	275
IODOLM_01025	contig_1	1102590	1102895	-	306	5	51	42	1024	907	2608
IODOLM_01026	contig_1	1103017	1103232	-	216	2	69	47	799	604	1826
IODOLM_01027	contig_1	1103304	1103681	+	378	6	193	113	141	122	353
IODOLM_01028	contig_1	1104612	1104824	+	213	15	511	295	1636	1290	4200
IODOLM_01029	contig_1	1105218	1105391	+	174	0	41	32	241	226	567
IODOLM_01030	contig_1	1105440	1106513	-	1074	6	107	52	56	65	196
IODOLM_01031	contig_1	1106585	1109284	-	2700	26	899	548	416	388	1022
IODOLM_01032	contig_1	1109412	1110440	+	1029	16	430	264	244	191	536
IODOLM_01033	contig_1	1110413	1111105	-	693	9	221	113	196	154	416
IODOLM_01034	contig_1	1111235	1112407	+	1173	1	34	26	25	29	80
IODOLM_01035	contig_1	1112407	1114953	+	2547	20	373	217	221	180	456
IODOLM_01036	contig_1	1114950	1115549	+	600	7	211	114	93	117	238
IODOLM_01037	contig_1	1115701	1116006	-	306	6	292	185	903	780	1803
IODOLM_01038	contig_1	1116006	1116926	-	921	27	920	593	3467	2745	7127
IODOLM_01039	contig_1	1117187	1118443	+	1257	0	10	12	55	55	113
IODOLM_01040	contig_1	1118736	1119977	+	1242	31	972	598	955	792	1577
IODOLM_01041	contig_1	1120015	1120242	-	228	78	2786	1286	1350	1135	2574
IODOLM_01042	contig_1	1120263	1120859	-	597	78	3070	1541	3631	2889	6779
IODOLM_01043	contig_1	1121232	1121405	+	174	13	346	142	2855	2010	4848
IODOLM_01044	contig_1	1121662	1122990	-	1329	9	262	174	107	110	216
IODOLM_01045	contig_1	1123011	1123505	-	495	1	37	18	24	14	43
IODOLM_01046	contig_1	1123516	1124106	-	591	1	21	12	16	12	29
IODOLM_01047	contig_1	1124116	1124916	-	801	1	19	10	15	12	36
IODOLM_01048	contig_1	1124924	1125310	-	387	0	4	2	11	4	17
IODOLM_01049	contig_1	1125322	1126017	-	696	0	12	2	8	4	13
IODOLM_01050	contig_1	1126014	1127105	-	1092	0	8	8	19	6	37
IODOLM_01051	contig_1	1127393	1128031	+	639	29	552	286	183	179	409
IODOLM_01052	contig_1	1128071	1132033	-	3963	43	1157	601	3920	3909	8111
IODOLM_01053	contig_1	1132088	1132297	+	210	2	68	26	53	60	101
IODOLM_01054	contig_1	1132456	1133964	+	1509	94	2365	1434	1289	1325	3075
IODOLM_01055	contig_1	1134507	1134617	+	111	7	130	70	176	186	439
IODOLM_01056	contig_1	1134617	1135336	+	720	30	707	384	1461	1582	4204
IODOLM_01057	contig_1	1135394	1136521	+	1128	27	511	324	3051	3260	7290
IODOLM_01058	contig_1	1136527	1137798	+	1272	22	398	251	1954	1979	4244
IODOLM_01059	contig_1	1138143	1139207	+	1065	14	416	251	3934	3910	12156
IODOLM_01060	contig_1	1139257	1139670	-	414	3	37	19	177	150	411
IODOLM_01061	contig_1	1139672	1140997	-	1326	0	24	12	133	149	383
IODOLM_01062	contig_1	1140990	1143008	-	2019	1	40	16	111	102	277
IODOLM_01063	contig_1	1143017	1145440	-	2424	6	99	55	259	247	681
IODOLM_01064	contig_1	1146027	1146686	+	660	4	57	31	378	438	1094
IODOLM_01065	contig_1	1146728	1147093	+	366	37	839	510	416	480	916
IODOLM_01066	contig_1	1147051	1147956	+	906	90	1502	876	783	729	1693
IODOLM_01067	contig_1	1148038	1148721	+	684	2	77	33	248	288	663
IODOLM_01068	contig_1	1148762	1149628	-	867	2	138	73	137	139	286
IODOLM_01069	contig_1	1149625	1149924	-	300	1	109	82	140	112	228
IODOLM_01070	contig_1	1150010	1150333	+	324	0	4	4	15	11	30
IODOLM_01071	contig_1	1150330	1151316	+	987	1	40	21	120	97	248
IODOLM_01072	contig_1	1152554	1153492	+	939	12	372	194	999	919	2126
IODOLM_01073	contig_1	1153547	1154284	+	738	9	293	153	213	195	530
IODOLM_01074	contig_1	1154308	1154862	+	555	13	281	182	250	193	536
IODOLM_01075	contig_1	1154934	1155455	+	522	31	1362	607	615	664	1287
IODOLM_01076	contig_1	1155519	1156352	-	834	92	2383	1696	454	517	1202
IODOLM_01077	contig_1	1156379	1156795	-	417	30	796	631	113	117	348
IODOLM_01078	contig_1	1156820	1157209	-	390	42	759	549	205	176	464
IODOLM_01079	contig_1	1157214	1157864	-	651	120	2451	1753	682	685	1764
IODOLM_01080	contig_1	1158619	1159074	+	456	0	9	4	25	16	61
IODOLM_01081	contig_1	1159115	1159570	+	456	0	112	46	104	87	234
IODOLM_01082	contig_1	1159629	1159961	+	333	0	19	16	35	29	57
IODOLM_01083	contig_1	1160082	1160393	+	312	3	36	20	95	93	196
IODOLM_01084	contig_1	1160488	1161021	+	534	22	597	291	774	656	1580
IODOLM_01085	contig_1	1160963	1162444	+	1482	33	818	513	879	747	1969
IODOLM_01086	contig_1	1162452	1163609	-	1158	9	285	128	167	190	414
IODOLM_01087	contig_1	1164036	1165538	+	1503	59	2542	1586	2968	2812	5703
IODOLM_01088	contig_1	1165561	1168074	+	2514	187	7598	4937	4432	3975	8897
IODOLM_01089	contig_1	1168247	1168474	+	228	0	33	13	106	99	269
IODOLM_01090	contig_1	1168475	1168849	-	375	37	641	412	1491	1167	3142
IODOLM_01091	contig_1	1168932	1170158	-	1227	21	619	385	698	574	1620
IODOLM_01092	contig_1	1170330	1171250	-	921	27	1028	658	798	649	1369
IODOLM_01093	contig_1	1171475	1172527	+	1053	36	647	339	813	788	1531
IODOLM_01094	contig_1	1172569	1173144	-	576	9	258	168	887	825	1584
IODOLM_01095	contig_1	1173148	1173714	-	567	2	86	46	414	360	828
IODOLM_01096	contig_1	1173975	1174088	-	114	0	8	3	14	13	33
IODOLM_01097	contig_1	1174136	1175254	-	1119	32	1449	880	954	834	1903
IODOLM_01098	contig_1	1175369	1175626	-	258	259	4833	2564	13055	13377	30176
IODOLM_01099	contig_1	1175910	1176155	-	246	12	256	161	261	268	462
IODOLM_01100	contig_1	1176229	1177275	-	1047	15	1055	714	1252	1254	2404
IODOLM_01101	contig_1	1177381	1177941	-	561	25	1284	804	894	865	2002
IODOLM_01102	contig_1	1178075	1178722	-	648	79	1333	791	2168	1884	3716
IODOLM_01103	contig_1	1178786	1179994	-	1209	10	393	230	388	354	1015
IODOLM_01104	contig_1	1180230	1180814	+	585	46	1289	749	781	716	1772
IODOLM_01105	contig_1	1180825	1181472	+	648	66	1409	828	547	617	1342
IODOLM_01106	contig_1	1181474	1182397	+	924	78	2054	1220	598	664	1485
IODOLM_01107	contig_1	1182507	1184042	+	1536	47	1685	1029	1018	887	2259
IODOLM_01108	contig_1	1184082	1184498	-	417	5	168	85	78	89	145
IODOLM_01109	contig_1	1184503	1184796	-	294	3	81	54	99	87	238
IODOLM_01110	contig_1	1184872	1185531	-	660	7	126	57	54	42	112
IODOLM_01111	contig_1	1185686	1186102	+	417	0	15	6	10	10	20
IODOLM_01112	contig_1	1186106	1186510	+	405	0	8	11	11	6	23
IODOLM_01113	contig_1	1186522	1187217	+	696	3	51	25	24	27	61
IODOLM_01114	contig_1	1187242	1188450	+	1209	4	153	87	64	53	134
IODOLM_01115	contig_1	1188470	1189225	+	756	2	66	44	44	40	75
IODOLM_01116	contig_1	1189397	1190179	+	783	1	134	73	69	67	154
IODOLM_01117	contig_1	1190232	1190930	+	699	5	82	56	38	25	95
IODOLM_01118	contig_1	1190942	1192039	+	1098	5	121	80	49	51	134
IODOLM_01119	contig_1	1192039	1192980	+	942	2	65	43	44	55	121
IODOLM_01120	contig_1	1193046	1194689	+	1644	15	199	156	131	129	316
IODOLM_01121	contig_1	1194701	1195654	+	954	31	511	287	242	244	570
IODOLM_01122	contig_1	1195850	1199035	-	3186	346	18727	12138	17785	15829	34843
IODOLM_01123	contig_1	1199608	1200567	+	960	43	1031	539	530	485	1152
IODOLM_01124	contig_1	1200679	1201302	-	624	159	3248	1659	1532	1434	3334
IODOLM_01125	contig_1	1201462	1201983	+	522	722	18659	11222	21489	19161	39588
IODOLM_01126	contig_1	1202035	1202208	+	174	241	9755	6170	13062	11811	21207
IODOLM_01127	contig_1	1202319	1203359	+	1041	332	7915	4807	5161	4703	9799
IODOLM_01128	contig_1	1203427	1204380	+	954	533	10310	6804	4894	4911	11233
IODOLM_01129	contig_1	1204396	1205325	+	930	588	10319	6779	6531	6438	14284
IODOLM_01130	contig_1	1205338	1206072	+	735	659	12254	7094	13763	12693	27031
IODOLM_01131	contig_1	1206283	1206519	+	237	713	18492	9918	22113	20203	39185
IODOLM_01132	contig_1	1206607	1207848	+	1242	528	15909	9251	26391	24150	56469
IODOLM_01133	contig_1	1207968	1208777	+	810	49	1198	726	664	593	1620
IODOLM_01134	contig_1	1208780	1209802	+	1023	42	1352	884	787	674	1737
IODOLM_01135	contig_1	1209792	1210433	+	642	53	1495	900	823	713	1780
IODOLM_01136	contig_1	1210430	1211434	+	1005	59	1779	1163	1545	1490	3404
IODOLM_01137	contig_1	1211445	1212242	+	798	31	1537	880	3923	3477	7553
IODOLM_01138	contig_1	1212537	1213970	+	1434	92	3754	2386	6557	5998	11413
IODOLM_01139	contig_1	1214030	1216219	-	2190	100	3662	2247	5995	5916	12992
IODOLM_01140	contig_1	1216553	1216912	+	360	48	1239	778	1460	1317	3142
IODOLM_01141	contig_1	1216915	1217292	+	378	30	781	470	1225	1037	2563
IODOLM_01142	contig_1	1217306	1217947	+	642	59	1672	1050	2832	2355	5626
IODOLM_01143	contig_1	1217928	1218752	+	825	40	823	477	591	515	1182
IODOLM_01144	contig_1	1218763	1219788	+	1026	130	2779	1727	1543	1468	3286
IODOLM_01145	contig_1	1219811	1220353	+	543	77	2009	1263	1305	1265	2486
IODOLM_01146	contig_1	1220753	1222057	+	1305	745	19290	12751	8124	7545	16944
IODOLM_01147	contig_1	1222267	1222806	+	540	75	1919	1208	1919	1544	4339
IODOLM_01148	contig_1	1222868	1223563	-	696	50	1538	821	699	661	1598
IODOLM_01149	contig_1	1223741	1223998	+	258	37	1961	1052	2291	1885	4534
IODOLM_01150	contig_1	1224080	1225039	-	960	41	1352	821	419	313	620
IODOLM_01151	contig_1	1225186	1228680	-	3495	326	10574	6723	4091	4050	9843
IODOLM_01152	contig_1	1228760	1229833	-	1074	3	22	12	22	22	49
IODOLM_01153	contig_1	1230095	1231294	+	1200	109	2806	1803	1240	1114	2411
IODOLM_01154	contig_1	1231287	1231988	+	702	113	2671	1694	841	769	1763
IODOLM_01155	contig_1	1231994	1233232	+	1239	312	6051	3708	1896	1809	4015
IODOLM_01156	contig_1	1233261	1234172	+	912	112	2930	1882	1629	1647	3629
IODOLM_01157	contig_1	1234188	1235027	+	840	71	1845	1193	1479	1396	3071
IODOLM_01158	contig_1	1235147	1235935	-	789	0	4	1	24	24	82
IODOLM_01159	contig_1	1235932	1236393	-	462	0	10	5	47	53	110
IODOLM_01160	contig_1	1236451	1237497	-	1047	125	3397	2438	4395	4345	9501
IODOLM_01161	contig_1	1237494	1238288	-	795	38	1285	964	1312	1212	2684
IODOLM_01162	contig_1	1238285	1239142	-	858	29	1563	1229	1096	1022	2328
IODOLM_01163	contig_1	1239126	1240262	-	1137	54	2675	1958	3157	3044	6987
IODOLM_01164	contig_1	1240512	1241738	+	1227	169	3320	1724	2458	2267	4958
IODOLM_01165	contig_1	1241787	1242908	-	1122	255	5773	3426	2789	2668	6145
IODOLM_01166	contig_1	1242984	1244444	-	1461	18	698	428	2035	1677	4381
IODOLM_01167	contig_1	1244444	1245115	-	672	18	568	395	2791	2332	5349
IODOLM_01168	contig_1	1245284	1246654	-	1371	16	1760	1490	4940	4838	8330
IODOLM_01169	contig_1	1246658	1247299	-	642	18	1254	928	2116	1842	4715
IODOLM_01170	contig_1	1247335	1248441	-	1107	118	3258	2234	3639	3129	7405
IODOLM_01171	contig_1	1248495	1248956	-	462	13	439	280	310	275	672
IODOLM_01172	contig_1	1248966	1249619	-	654	6	282	170	224	211	606
IODOLM_01173	contig_1	1249791	1251041	+	1251	88	3315	1704	19727	20024	39588
IODOLM_01174	contig_1	1252167	1252571	-	405	1	13	4	26	14	58
IODOLM_01175	contig_1	1252792	1253523	-	732	65	1493	779	2232	2142	5148
IODOLM_01176	contig_1	1253728	1254939	-	1212	44	568	281	1906	2260	4694
IODOLM_01177	contig_1	1255253	1255489	+	237	1	51	24	193	219	457
IODOLM_01178	contig_1	1255833	1256099	+	267	1	57	19	220	235	521
IODOLM_01179	contig_1	1256212	1256460	+	249	0	59	32	117	109	215
IODOLM_01180	contig_1	1256792	1258315	+	1524	0	61	33	104	79	208
IODOLM_01181	contig_1	1258447	1258665	+	219	0	10	4	32	39	141
IODOLM_01182	contig_1	1259065	1260585	+	1521	5	64	35	100	86	221
IODOLM_01183	contig_1	1260670	1261686	+	1017	8	106	43	197	151	383
IODOLM_01184	contig_1	1261769	1262098	-	330	6	72	39	116	86	244
IODOLM_01185	contig_1	1262108	1262392	-	285	2	41	32	67	51	138
IODOLM_01186	contig_1	1263743	1264009	-	267	30	986	572	750	776	1800
IODOLM_01187	contig_1	1264013	1264825	-	813	131	3861	2386	3345	3277	6892
IODOLM_01188	contig_1	1264849	1265544	-	696	115	3418	2107	2329	2045	4862
IODOLM_01189	contig_1	1266064	1266432	+	369	4	83	56	411	366	851
IODOLM_01190	contig_1	1266535	1266936	-	402	0	41	18	514	551	1333
IODOLM_01191	contig_1	1267178	1267471	+	294	60	1403	731	475	481	1188
IODOLM_01192	contig_1	1267543	1268202	+	660	123	2515	1301	846	815	2213
IODOLM_01193	contig_1	1268294	1268740	+	447	25	890	454	484	409	1084
IODOLM_01194	contig_1	1268947	1269858	-	912	0	22	14	259	192	421
IODOLM_01195	contig_1	1270231	1270650	+	420	3	58	27	35	40	80
IODOLM_01196	contig_1	1270650	1271918	+	1269	12	164	90	74	57	166
IODOLM_01197	contig_1	1271964	1272494	-	531	31	904	591	927	904	1878
IODOLM_01198	contig_1	1272640	1274181	-	1542	19	654	456	2088	2016	4339
IODOLM_01199	contig_1	1274402	1275121	+	720	111	3421	1815	860	832	1828
IODOLM_01200	contig_1	1275173	1276705	-	1533	77	1850	987	3812	3255	8053
IODOLM_01201	contig_1	1277035	1278333	+	1299	234	4780	2391	3246	3723	9163
IODOLM_01202	contig_1	1278343	1279413	+	1071	159	3084	1537	1902	1909	5258
IODOLM_01203	contig_1	1279799	1281535	-	1737	72	1808	1101	1054	967	2370
IODOLM_01204	contig_1	1281630	1282544	-	915	33	645	407	530	488	1221
IODOLM_01205	contig_1	1282644	1283255	+	612	75	1611	844	534	471	1067
IODOLM_01206	contig_1	1283257	1283991	-	735	2	14	9	14	18	40
IODOLM_01207	contig_1	1284192	1284446	+	255	10	407	196	422	370	966
IODOLM_01208	contig_1	1284624	1285064	+	441	0	32	11	68	72	221
IODOLM_01209	contig_1	1285143	1286840	-	1698	1	149	80	1688	1345	3112
IODOLM_01210	contig_1	1287160	1288578	-	1419	80	3136	1924	686	732	1734
IODOLM_01211	contig_1	1288589	1289221	-	633	30	1044	710	302	311	774
IODOLM_01212	contig_1	1289232	1290302	-	1071	59	1860	1093	692	606	1880
IODOLM_01213	contig_1	1290530	1292449	+	1920	31	631	352	1113	996	2837
IODOLM_01214	contig_1	1292549	1295416	-	2868	35	1075	666	799	805	1933
IODOLM_01215	contig_1	1295761	1295940	+	180	1	15	9	12	14	41
IODOLM_01216	contig_1	1296185	1297276	-	1092	183	4688	2695	1286	1177	2434
IODOLM_01217	contig_1	1297393	1297977	-	585	36	1023	529	388	382	899
IODOLM_01218	contig_1	1298255	1298533	+	279	328	16176	7639	8576	9820	11254
IODOLM_01219	contig_1	1298588	1300240	-	1653	32	1321	836	1592	1436	3083
IODOLM_01220	contig_1	1300392	1301405	-	1014	322	9501	6691	9783	9277	18166
IODOLM_01221	contig_1	1301490	1302341	-	852	142	2765	1664	2997	2411	5084
IODOLM_01222	contig_1	1302341	1302964	-	624	48	1201	720	1515	1196	2869
IODOLM_01223	contig_1	1303178	1304434	+	1257	209	4161	2234	2164	1828	4867
IODOLM_01224	contig_1	1304476	1305558	+	1083	243	5382	2924	2528	2319	5611
IODOLM_01225	contig_1	1305558	1306391	+	834	75	1732	1030	1106	1016	2379
IODOLM_01226	contig_1	1306388	1306780	+	393	31	523	329	410	347	886
IODOLM_01227	contig_1	1306784	1307593	+	810	169	4457	2693	2157	1985	4519
IODOLM_01228	contig_1	1307629	1308483	+	855	364	7894	4622	5013	4662	9478
IODOLM_01229	contig_1	1308632	1308739	-	108	1	35	16	29	29	98
IODOLM_01230	contig_1	1309167	1309274	-	108	1	30	15	23	29	74
IODOLM_01231	contig_1	1309702	1309809	-	108	4	40	22	76	44	165
IODOLM_01232	contig_1	1310213	1311313	-	1101	39	1202	689	2072	1932	4060
IODOLM_01233	contig_1	1311583	1311813	+	231	6	133	59	450	373	1076
IODOLM_01234	contig_1	1311950	1312666	+	717	150	2835	1441	1077	1054	2558
IODOLM_01235	contig_1	1312710	1313063	-	354	28	604	306	494	538	1026
IODOLM_01236	contig_1	1313248	1314642	+	1395	72	1144	639	563	562	1328
IODOLM_01237	contig_1	1314643	1315293	-	651	14	853	551	1068	1073	2293
IODOLM_01238	contig_1	1315286	1317082	-	1797	48	2082	1234	1551	1224	3201
IODOLM_01239	contig_1	1317108	1317326	+	219	0	8	4	15	4	21
IODOLM_01240	contig_1	1317421	1318812	+	1392	5	485	341	98	100	227
IODOLM_01241	contig_1	1319328	1323071	+	3744	18	1172	829	416	360	877
IODOLM_01242	contig_1	1323068	1324606	+	1539	13	430	273	217	223	499
IODOLM_01243	contig_1	1324603	1325313	+	711	3	168	99	112	79	246
IODOLM_01244	contig_1	1325313	1325990	+	678	9	154	104	71	83	156
IODOLM_01245	contig_1	1326529	1327095	+	567	0	8	7	12	9	26
IODOLM_01246	contig_1	1327246	1328088	-	843	125	2983	1709	1547	1537	3546
IODOLM_01247	contig_1	1328138	1328596	-	459	36	958	583	722	736	1609
IODOLM_01248	contig_1	1328670	1329614	+	945	45	981	586	1993	1584	4348
IODOLM_01249	contig_1	1329706	1330719	+	1014	28	1328	710	2751	2278	5482
IODOLM_01250	contig_1	1330921	1331829	+	909	68	2796	1419	3912	3523	7509
IODOLM_01251	contig_1	1331973	1332386	-	414	124	10253	5724	30020	30979	69046
IODOLM_01252	contig_1	1332991	1333608	+	618	11	301	169	269	314	660
IODOLM_01253	contig_1	1333890	1334480	-	591	2	36	18	100	99	260
IODOLM_01254	contig_1	1334601	1334786	-	186	3	60	62	159	121	339
IODOLM_01255	contig_1	1334910	1337585	-	2676	1777	124687	97667	65322	55372	96572
IODOLM_01256	contig_1	1338062	1338709	+	648	8	319	235	362	315	778
IODOLM_01257	contig_1	1338736	1338891	+	156	0	6	3	9	7	11
IODOLM_01258	contig_1	1338867	1339028	-	162	1	77	23	32	45	74
IODOLM_01259	contig_1	1339379	1339654	+	276	7	144	84	243	211	574
IODOLM_01260	contig_1	1339699	1340076	+	378	12	163	83	185	161	421
IODOLM_01261	contig_1	1340179	1341855	+	1677	2519	84157	53467	103283	98798	204536
IODOLM_01262	contig_1	1341941	1342861	+	921	445	12479	7556	7636	8483	18696
