locus_tag	Gene	Product	COG_category	KEGG_Pathway
IODOLM_01015		Cytochrome bd-II ubiquinol oxidase subunit 1	C	ko00190,ko01100,ko02020,map00190,map01100,map02020
IODOLM_01016		Cytochrome d ubiquinol oxidase subunit II	C	ko00190,ko01100,ko02020,map00190,map01100,map02020
IODOLM_01021		Putative polysaccharide export protein Wza	M	ko02026,map02026
IODOLM_01022		Lipoprotein	M	-
IODOLM_01023	gfcC	Uncharacterized protein GfcC	S	-
IODOLM_01024		hypothetical protein	M	-
IODOLM_01025		hypothetical protein	-	-
IODOLM_01026	insB	InsB	-	-
IODOLM_01028		CSD domain-containing protein	K	-
IODOLM_01029	gnsA	Protein GnsA	S	-
IODOLM_01031	torS	Sensor protein TorS	T	ko02020,map02020
IODOLM_01032		Solute-binding periplasmic protein	G	-
IODOLM_01035		Trimethylamine-N-oxide reductase 1	C	ko00450,ko00780,ko00920,ko01100,ko02020,map00450,map00780,map00920,map01100,map02020
IODOLM_01036	torD	Chaperone protein TorD	O	ko02020,map02020
IODOLM_01037	cbpM	Chaperone modulatory protein CbpM	K	-
IODOLM_01038		Curved DNA-binding protein	O	-
IODOLM_01039	yccE	Uncharacterized protein YccE	-	-
IODOLM_01041	yccJ	YccJ protein	S	-
IODOLM_01042		NAD(P)H dehydrogenase (quinone)	S	ko00130,ko01110,map00130,map01110
IODOLM_01043		hypothetical protein	S	-
IODOLM_01044		Pyrimidine utilization transport protein G	F	-
IODOLM_01051		HTH tetR-type domain-containing protein	K	-
IODOLM_01052	putA	Bifunctional protein PutA	K	ko00250,ko00330,ko01100,ko01110,ko01130,map00250,map00330,map01100,map01110,map01130
IODOLM_01054		Sodium/proline symporter	P	-
IODOLM_01055		hypothetical protein	P	-
IODOLM_01056	efeU	Ferrous iron permease EfeU	P	-
IODOLM_01057	efeO	iron uptake system protein EfeO	P	-
IODOLM_01058		Deferrochelatase	P	-
IODOLM_01059	phoH	Protein PhoH	T	-
IODOLM_01060		hypothetical protein	S	ko02026,map02026
IODOLM_01061		Poly-beta-1,6-N-acetyl-D-glucosamine synthase	M	ko02026,map02026
IODOLM_01062		Poly-beta-1,6-N-acetyl-D-glucosamine N-deacetylase	M	ko02026,map02026
IODOLM_01063		Poly-beta-1,6-N-acetyl-D-glucosamine export protein	S	ko02026,map02026
IODOLM_01064		Putative diguanylate cyclase	T	-
IODOLM_01065	tnp	IS3 family IS2 transposase ORF A	L	-
IODOLM_01066	tnp	IS3 family IS2 transposase ORF B	L	-
IODOLM_01067		hypothetical protein	T	-
IODOLM_01071	ycdU	Uncharacterized protein YcdU	-	-
IODOLM_01072	ghrA	Glyoxylate/hydroxypyruvate reductase GhrA	EH	ko00260,ko00620,ko00630,ko01100,ko01110,ko01120,map00260,map00620,map00630,map01100,map01110,map01120
IODOLM_01075	ycdZ	Inner membrane protein ycdZ	S	-
IODOLM_01076	cgsG	curli production assembly/transport protein CsgG	M	-
IODOLM_01077	cgsF	curli production assembly/transport protein CsgF	S	-
IODOLM_01078	cgsE	curli production assembly/transport protein CsgE	S	-
IODOLM_01079	csgD	transcriptional regulator CsgD	K	ko02026,ko05111,map02026,map05111
IODOLM_01080		hypothetical protein	S	ko02026,map02026
IODOLM_01083		hypothetical protein	-	-
IODOLM_01084		O-acetyl-ADP-ribose deacetylase	S	-
IODOLM_01085	clsC	cardiolipin synthase ClsC	I	ko00564,ko01100,map00564,map01100
IODOLM_01087	mdoG	glucans biosynthesis protein MdoG	P	-
IODOLM_01088		Glucans biosynthesis glucosyltransferase H	M	-
IODOLM_01089	yceK	Uncharacterized protein YceK	S	-
IODOLM_01090		SecY/secA suppressor protein	S	-
IODOLM_01091	mdtG	Multidrug resistance protein MdtG	EGP	-
IODOLM_01093		tRNA uridine(34) hydroxylase	S	-
IODOLM_01094	yceI	Protein YceI	S	-
IODOLM_01095		Cytochrome b561-like protein	C	-
IODOLM_01098	bssS	Biofilm formation regulator BssS	S	-
IODOLM_01100		Dihydroorotase	F	ko00240,ko01100,map00240,map01100
IODOLM_01102		Glutaredoxin 2	O	-
IODOLM_01103	mdtH	Multidrug resistance protein MdtH	EGP	-
IODOLM_01104		[ribosomal protein uS5]-alanine N-acetyltransferase	J	-
IODOLM_01105	yceH	UPF0502 protein YceH	S	-
IODOLM_01106	yceM	Putative oxidoreductase YceM	S	-
IODOLM_01107	murJ	putative lipid II flippase MurJ	S	-
IODOLM_01108	flgN	Flagella synthesis protein FlgN	N	ko02040,map02040
IODOLM_01110	flgA	Flagella basal body P-ring formation protein FlgA	N	ko02040,map02040
IODOLM_01114	flgE	flagellar hook protein FlgE	N	ko02040,map02040
IODOLM_01117		Flagellar L-ring protein	N	ko02040,map02040
IODOLM_01118	flgI	flagellar basal body P-ring protein FlgI	N	ko02040,map02040
IODOLM_01121	flgL	FlgL family flagellar hook-associated protein	N	ko02040,map02040
IODOLM_01123		Ribosomal large subunit pseudouridine synthase C	J	-
IODOLM_01124	yceF	7-methyl-GTP pyrophosphatase	D	-
IODOLM_01125	yceD	Large ribosomal RNA subunit accumulation protein YceD	S	-
IODOLM_01126		Large ribosomal subunit protein bL32	J	ko03010,map03010
IODOLM_01127		Phosphate acyltransferase	I	ko00561,ko00564,ko01100,ko01110,map00561,map00564,map01100,map01110
IODOLM_01128	fabH	beta-ketoacyl-ACP synthase III	I	ko00061,ko01100,ko01212,map00061,map01100,map01212
IODOLM_01129		ACP S-malonyltransferase	I	ko00061,ko00333,ko01100,ko01130,ko01212,map00061,map00333,map01100,map01130,map01212
IODOLM_01131		Acyl carrier protein	IQ	-
IODOLM_01132		Beta-ketoacyl-ACP synthase II	I	ko00061,ko00780,ko01100,ko01212,map00061,map00780,map01100,map01212
IODOLM_01133		Aminodeoxychorismate lyase	H	ko00790,map00790
IODOLM_01134		Endolytic murein transglycosylase	S	-
IODOLM_01135		Thymidylate kinase	F	ko00240,ko01100,map00240,map01100
IODOLM_01137	ycfH	Uncharacterized metal-dependent hydrolase YcfH	L	-
IODOLM_01138		PTS system glucose-specific transporter subunits IIBC	G	ko00010,ko00520,ko02060,ko05111,map00010,map00520,map02060,map05111
IODOLM_01139	fhuE	Hydroxamate siderophore receptor FhuE	P	-
IODOLM_01140		HIT domain-containing protein	FG	-
IODOLM_01141		DUF1425 domain-containing protein	S	-
IODOLM_01142	lpoB	Penicillin-binding protein activator LpoB	M	-
IODOLM_01144		Beta-hexosaminidase	M	ko00520,ko00531,ko01100,ko01501,map00520,map00531,map01100,map01501
IODOLM_01145	ycfP	UPF0227 protein YcfP	S	-
IODOLM_01146	ndh	NADH-quinone dehydrogenase	C	ko00190,map00190
IODOLM_01148	comR	TetR family copper-responsive transcriptional repressor ComR	K	-
IODOLM_01149	bhsA	multiple stress resistance protein BhsA	M	-
IODOLM_01150	ldtC	L,D-transpeptidase LdtC	M	ko01503,map01503
IODOLM_01151		Transcription-repair-coupling factor	L	ko03420,map03420
IODOLM_01153	lolC	Outer membrane-specific lipoprotein transporter subunit LolC	M	ko02010,map02010
IODOLM_01154	lolD	Lipoprotein releasing system ATP-binding protein LolD	V	ko02010,map02010
IODOLM_01155	lolE	Lipoprotein-releasing system transmembrane protein LolE	M	ko02010,map02010
IODOLM_01156		N-acetyl-D-glucosamine kinase	F	ko00010,ko00052,ko00500,ko00520,ko00521,ko00524,ko01100,ko01110,ko01120,ko01130,ko01200,map00010,map00052,map00500,map00520,map00521,map00524,map01100,map01110,map01120,map01130,map01200
IODOLM_01158	ycfZ	Inner membrane protein YcfZ	S	-
IODOLM_01159	ymfA	Inner membrane protein YmfA	S	-
IODOLM_01160		Spermidine/putrescine-binding periplasmic protein	P	ko02010,map02010
IODOLM_01163	potA	Spermidine/putrescine import ATP-binding protein PotA	P	ko02010,ko02024,map02010,map02024
IODOLM_01165	roxA	[50S ribosomal protein L16]-arginine 3-hydroxylase	S	-
IODOLM_01166	phoQ	Virulence sensor histidine kinase PhoQ	T	ko01503,ko02020,map01503,map02020
IODOLM_01167		Two-component response regulator	K	ko01503,ko02020,map01503,map02020
IODOLM_01168		Adenylosuccinate lyase	F	ko00230,ko00250,ko01100,ko01110,ko01130,map00230,map00250,map01100,map01110,map01130
IODOLM_01169	hflD	high frequency lysogenization protein HflD	S	-
IODOLM_01170	mnmA	tRNA-specific 2-thiouridylase MnmA	J	ko04122,map04122
IODOLM_01173		Isocitrate dehydrogenase [NADP] 1	C	ko00020,ko00480,ko00720,ko01100,ko01110,ko01120,ko01130,ko01200,ko01210,ko01230,ko04146,map00020,map00480,map00720,map01100,map01110,map01120,map01130,map01200,map01210,map01230,map04146
IODOLM_01175	bluR	DNA-binding transcriptional repressor BluR	K	ko02026,map02026
IODOLM_01176	bluF	blue light-responsive regulator BluF	T	-
IODOLM_01177		Protein	S	-
IODOLM_01178	ariR	biofilm/acid-resistance regulator AriR	K	-
IODOLM_01179	ymgC	Uncharacterized protein YmgC	-	-
IODOLM_01180	pdeG	putative cyclic di-GMP phosphodiesterase PdeG	T	-
IODOLM_01181	ymgF	Inner membrane protein YmgF		
IODOLM_01182		hypothetical protein	MU	-
IODOLM_01183		autotransporter outer membrane beta-barrel domain-containing protein	MU	-
IODOLM_01184	ymgD	YmgD family protein	S	-
IODOLM_01188	minC	putative septum site-determining protein MinC	D	-
IODOLM_01189		Fels-1 Propage domain-containing protein	S	-
IODOLM_01190		PPC domain-containing protein	S	-
IODOLM_01191	ycgL	YcgL domain-containing protein Patl-2802	S	-
IODOLM_01192	ycgM	Oxaloacetate tautomerase YcgM	Q	-
IODOLM_01193		UPF0260 protein HV346_13080	S	-
IODOLM_01194	hlyE	hemolysin HlyE	O	-
IODOLM_01196	umuC	DNA polymerase V catalytic protein	L	-
IODOLM_01198	nhaB	Na(+)/H(+) antiporter NhaB	P	-
IODOLM_01199		Fatty acid metabolism regulator protein	K	-
IODOLM_01200		SpoVR family protein	S	-
IODOLM_01203	nhaP2	K(+)/H(+) antiporter NhaP2	P	-
IODOLM_01205		Endo-type membrane-bound lytic murein transglycosylase A	M	-
IODOLM_01207		GlsB/YeaQ/YmgE family stress response membrane protein	S	-
IODOLM_01208		Protein	-	-
IODOLM_01209	treA	alpha,alpha-trehalase	G	ko00500,ko01100,map00500,map01100
IODOLM_01210	dhaM	PEP-dependent dihydroxyacetone kinase, phosphoryl donor subunit DhaM	G	ko00561,map00561
IODOLM_01211	dhaL	PEP-dependent dihydroxyacetone kinase, ADP-binding subunit DhaL	S	ko00561,ko01100,map00561,map01100
IODOLM_01212	dhaK	PEP-dependent dihydroxyacetone kinase, dihydroxyacetone-binding subunit DhaK	G	ko00561,ko01100,map00561,map01100
IODOLM_01213	dhaR	PTS-dependent dihydroxyacetone kinase operon transcriptional regulator DhaR	KQ	-
IODOLM_01216	ychF	Ribosome-binding ATPase YchF	J	-
IODOLM_01217		Peptidyl-tRNA hydrolase	J	-
IODOLM_01219	dauA	C4-dicarboxylic acid transporter DauA	P	-
IODOLM_01222	lolB	Outer-membrane lipoprotein LolB	M	-
IODOLM_01223		Glutamyl-tRNA reductase	H	ko00860,ko01100,ko01110,ko01120,map00860,map01100,map01110,map01120
IODOLM_01224		Peptide chain release factor RF1	J	-
IODOLM_01225		N5-glutamine S-adenosyl-L-methionine-dependent methyltransferase	J	-
IODOLM_01227	sirB1	Protein SirB1	S	-
IODOLM_01228		2-dehydro-3-deoxyphosphooctonate aldolase	M	ko00540,ko01100,map00540,map01100
IODOLM_01232	chaA	Sodium-potassium/proton antiporter ChaA	P	-
IODOLM_01233		Cation transport regulator	K	-
IODOLM_01234	chaC	glutathione-specific gamma-glutamylcyclotransferase	P	-
IODOLM_01236	ychO	inverse autotransporter invasin YchO	M	ko05100,map05100
IODOLM_01237	narL	Two-component system response regulator NarL	K	ko02020,map02020
IODOLM_01240	narK	nitrate transporter NarK	P	ko00910,map00910
IODOLM_01241		Respiratory nitrate reductase 2 alpha chain	C	ko00910,ko01120,ko02020,map00910,map01120,map02020
IODOLM_01242		Nitrate reductase subunit beta	C	ko00910,ko01120,ko02020,map00910,map01120,map02020
IODOLM_01244		Respiratory nitrate reductase 2 gamma chain	C	ko00910,ko01120,ko02020,map00910,map01120,map02020
IODOLM_01246		Formyltetrahydrofolate deformylase	F	ko00630,ko00670,map00630,map00670
IODOLM_01248	rssA	NTE family protein RssA	S	-
IODOLM_01249	rpoS	Regulator of RpoS	KT	-
IODOLM_01250		UTP--glucose-1-phosphate uridylyltransferase	M	ko00040,ko00052,ko00500,ko00520,ko01100,ko01130,map00040,map00052,map00500,map00520,map01100,map01130
IODOLM_01251		DNA-binding protein H-NS	K	-
IODOLM_01253		hypothetical protein	L	-
IODOLM_01254		hypothetical protein	L	-
IODOLM_01259	tnp	IS1 family IS1A transposase ORF A	L	-
IODOLM_01261	oppA	Periplasmic oligopeptide-binding protein OppA	E	ko01501,ko02010,ko02024,map01501,map02010,map02024
IODOLM_01263		Oligopeptide ABC transporter permease	EP	ko01501,ko02010,ko02024,map01501,map02010,map02024
IODOLM_01264	oppD	murein tripeptide/oligopeptide ABC transporter ATP-binding protein OppD	P	ko01501,ko02010,ko02024,map01501,map02010,map02024
IODOLM_01265	oppF	murein tripeptide/oligopeptide ABC transporter ATP-binding protein OppF	P	ko01501,ko02010,ko02024,map01501,map02010,map02024
IODOLM_01268		Voltage-gated potassium channel Kch	P	-
IODOLM_01270		hypothetical protein	S	-
IODOLM_01272		hypothetical protein	F	ko03430,map03430
IODOLM_01283		Regulatory protein N	-	-
IODOLM_01284		Fumarase D	-	-
IODOLM_01286		Phage repressor protein	S	-
IODOLM_01288	ydaT	Bacterial toxin YdaT domain-containing protein	S	-
IODOLM_01289		Replication protein 15	S	-
IODOLM_01291		DUF551 domain-containing protein	-	-
IODOLM_01297		Antitermination protein Q	S	-
IODOLM_01302		DUF4145 domain-containing protein	-	-
IODOLM_01303		hypothetical protein		
IODOLM_01304		Fur-regulated protein	-	-
IODOLM_01313		Galactoside O-acetyltransferase	S	-
IODOLM_01314	lacY	lactose permease	P	-
IODOLM_01315	lacZ	beta-galactosidase	G	ko00052,ko00511,ko00600,ko01100,map00052,map00511,map00600,map01100
IODOLM_01317		Transcriptional regulator	K	-
IODOLM_01320	mhpC	2-hydroxy-6-oxonona-2,4-dienedioate hydrolase	S	ko00360,ko00621,ko01100,ko01120,ko01220,map00360,map00621,map01100,map01120,map01220
IODOLM_01322	hypX	HypX	F	ko00230,ko00240,ko01100,map00230,map00240,map01100
IODOLM_01324		Transposase for transposon Tn3	L	-
IODOLM_01325		hypothetical protein	P	-
IODOLM_01326		YCII-related domain-containing protein	S	-
IODOLM_01327	tonB	Protein TonB	U	-
IODOLM_01328	yciA	Acyl-CoA thioester hydrolase YciA	I	ko01040,map01040
IODOLM_01332	yciE	Protein YciE	S	-
IODOLM_01333	yciF	Protein yciF	S	-
IODOLM_01334		hypothetical protein	S	-
IODOLM_01335		Tryptophan synthase alpha chain	E	ko00260,ko00400,ko01100,ko01110,ko01130,ko01230,map00260,map00400,map01100,map01110,map01130,map01230
IODOLM_01337		Tryptophan biosynthesis protein TrpCF	E	ko00400,ko01100,ko01110,ko01130,ko01230,map00400,map01100,map01110,map01130,map01230
IODOLM_01338		Anthranilate phosphoribosyltransferase	F	ko00400,ko01100,ko01110,ko01130,ko01230,map00400,map01100,map01110,map01130,map01230
IODOLM_01339		Anthranilate synthase component 1	E	ko00400,ko00405,ko01100,ko01110,ko01130,ko01230,ko02024,ko02025,map00400,map00405,map01100,map01110,map01130,map01230,map02024,map02025
IODOLM_01340		trp operon leader peptide		
IODOLM_01341	yciV	5'-3' exoribonuclease	S	-
IODOLM_01342		Threonylcarbamoyl-AMP synthase	J	-
IODOLM_01344		Pseudouridine synthase	J	-
IODOLM_01345		Corrinoid adenosyltransferase	H	ko00860,ko01100,map00860,map01100
IODOLM_01346	yciK	Uncharacterized oxidoreductase YciK	IQ	-
IODOLM_01347	sohB	putative protease SohB	OU	-
IODOLM_01348	yciN	Protein YciN	S	-
IODOLM_01349		type I DNA topoisomerase	L	-
IODOLM_01350	cysB	HTH-type transcriptional regulator CysB	K	-
IODOLM_01354		Aconitate hydratase	C	ko00020,ko00630,ko00720,ko01100,ko01110,ko01120,ko01130,ko01200,ko01210,ko01230,map00020,map00630,map00720,map01100,map01110,map01120,map01130,map01200,map01210,map01230
IODOLM_01355		GTP cyclohydrolase-2	F	ko00740,ko00790,ko01100,ko01110,ko02024,map00740,map00790,map01100,map01110,map02024
IODOLM_01356		Phosphatidylglycerophosphatase B	I	ko00564,ko01100,map00564,map01100
IODOLM_01357	lapA	lipopolysaccharide assembly protein LapA	S	-
IODOLM_01358		Lipopolysaccharide assembly protein B	G	-
IODOLM_01359		Orotidine 5'-phosphate decarboxylase	F	ko00240,ko01100,map00240,map01100
IODOLM_01360		Translation initiation factor Sui1	J	ko03013,map03013
IODOLM_01361		Osmotically-inducible lipoprotein B	M	-
IODOLM_01362	yciT	Uncharacterized HTH-type transcriptional regulator YciT	K	-
IODOLM_01363	yciZ	UPF0509 protein YciZ	S	-
IODOLM_01364		Putative signal transduction protein	T	ko02024,ko02026,map02024,map02026
IODOLM_01365		Exoribonuclease 2	J	-
IODOLM_01366	yciW	Uncharacterized protein YciW	S	-
IODOLM_01369	sapD	peptide ABC transporter ATP-binding protein SapD	P	ko01503,ko02010,ko02024,map01503,map02010,map02024
IODOLM_01370	sapC	Putrescine export system permease protein SapC	V	ko01503,ko02010,map01503,map02010
IODOLM_01371	sapB	Putrescine export system permease protein SapB	V	ko01503,ko02010,map01503,map02010
IODOLM_01373		DUF2543 domain-containing protein	S	-
IODOLM_01374	puuP	putrescine/proton symporter PuuP	E	-
IODOLM_01375	puuA	glutamate-putrescine ligase	E	ko00220,ko00250,ko00330,ko00630,ko00910,ko01100,ko01120,ko01230,ko02020,ko04217,ko04724,ko04727,map00220,map00250,map00330,map00630,map00910,map01100,map01120,map01230,map02020,map04217,map04724,map04727
IODOLM_01376		Gamma-glutamyl-gamma-aminobutyrate hydrolase	S	ko00330,ko01100,map00330,map01100
IODOLM_01377	puuR	HTH-type transcriptional regulator PuuR	K	-
IODOLM_01378	puuC	NADP/NAD-dependent aldehyde dehydrogenase PuuC	C	ko00010,ko00053,ko00071,ko00280,ko00310,ko00330,ko00340,ko00380,ko00410,ko00561,ko00620,ko00625,ko00903,ko00981,ko01100,ko01110,ko01120,ko01130,map00010,map00053,map00071,map00280,map00310,map00330,map00340,map00380,map00410,map00561,map00620,map00625,map00903,map00981,map01100,map01110,map01120,map01130
IODOLM_01379	puuB	gamma-glutamylputrescine oxidase	E	ko00330,ko01100,map00330,map01100
IODOLM_01380		4-aminobutyrate--2-oxoglutarate transaminase	E	ko00250,ko00280,ko00410,ko00640,ko00650,ko01100,ko01120,map00250,map00280,map00410,map00640,map00650,map01100,map01120
IODOLM_01381		Phage shock protein operon transcriptional activator	K	-
IODOLM_01382		Phage shock protein A	KT	-
IODOLM_01383	pspB	Envelope stress response membrane protein PspB	S	-
IODOLM_01384	pspC	Envelope stress response membrane protein PspC	KT	-
IODOLM_01385		Phage shock protein	S	-
IODOLM_01386	pspE	Thiosulfate sulfurtransferase PspE	P	-
IODOLM_01387	ycjM	glucosylglycerate phosphorylase	G	ko00500,map00500
IODOLM_01389		ABC transmembrane type-1 domain-containing protein	P	-
IODOLM_01390		ABC transmembrane type-1 domain-containing protein	P	-
IODOLM_01391		D-guloside 3-dehydrogenase	E	-
IODOLM_01393		D-glucoside 3-dehydrogenase	S	-
IODOLM_01394	ycjT	kojibiose phosphorylase	G	ko00500,ko01100,map00500,map01100
IODOLM_01397	ompG	monomeric porin OmpG	M	-
IODOLM_01398	ycjW	Uncharacterized HTH-type transcriptional regulator YcjW	K	-
IODOLM_01399		6-carboxy-5,6,7,8-tetrahydropterin synthase	S	-
IODOLM_01400	ycjF	UPF0283 membrane protein YcjF	S	-
IODOLM_01401	tyrR	HTH-type transcriptional regulatory protein TyrR	K	-
IODOLM_01402		Thiol peroxidase	O	-
IODOLM_01403		L-Ala-D/L-Glu epimerase	M	ko00361,ko00362,ko00364,ko00623,ko01100,ko01120,ko01220,map00361,map00362,map00364,map00623,map01100,map01120,map01220
IODOLM_01404	mpaA	Murein tripeptide amidase MpaA	E	-
IODOLM_01405	ymjC	Protein YmjC	GM	-
IODOLM_01406		Peptidase S9 prolyl oligopeptidase catalytic domain-containing protein	S	-
IODOLM_01407	pgrR	DNA-binding transcriptional regulator PgrR	K	-
IODOLM_01408	mppA	murein tripeptide ABC transporter substrate-binding protein MppA	E	ko01501,ko02010,ko02024,map01501,map02010,map02024
IODOLM_01409	ynaI	low conductance mechanosensitive channel YnaI	M	-
IODOLM_01411		DUF2534 domain-containing protein	S	-
IODOLM_01412		Universal stress protein E	T	-
IODOLM_01413	fnr	fumarate/nitrate reduction transcriptional regulator Fnr	K	-
IODOLM_01414		Methylated-DNA--protein-cysteine methyltransferase	L	-
IODOLM_01416	abgB	p-aminobenzoyl-glutamate hydrolase subunit AbgB	S	-
IODOLM_01417	abgA	p-aminobenzoyl-glutamate hydrolase subunit AbgA	E	-
IODOLM_01419		Smr domain-containing protein	L	-
IODOLM_01420	dgcM	diguanylate cyclase DgcM	T	ko02026,map02026
IODOLM_01421	zntB	Zinc transport protein ZntB	P	-
IODOLM_01422		hypothetical protein		
IODOLM_01423	dbpA	ATP-dependent RNA helicase DbpA	F	-
IODOLM_01425	intR	Prophage integrase IntR	L	-
IODOLM_01427	rcbA	double-strand break reduction protein RcbA	J	-
IODOLM_01428	recT	Protein RecT	L	-
IODOLM_01429		Exodeoxyribonuclease VIII	L	-
IODOLM_01430	racC	Protein RacC	-	-
IODOLM_01431	ydaE	Uncharacterized protein YdaE	S	-
IODOLM_01432	kilR	killing protein KilR	S	-
IODOLM_01433		Superinfection exclusion protein B		
IODOLM_01434		hypothetical protein	S	-
IODOLM_01435		hypothetical protein	S	-
IODOLM_01438	ydaT	Bacterial toxin YdaT domain-containing protein	S	-
IODOLM_01439		Bacteriophage protein	S	-
IODOLM_01440		ATP-binding protein	A	-
IODOLM_01446		hypothetical protein	D	-
IODOLM_01447	tnp	IS5 family ISKpn26 transposase	L	-
IODOLM_01450		Tail fiber assembly protein	S	-
IODOLM_01451	pinR	Serine recombinase PinR	L	-
IODOLM_01452	ydfK	cold shock protein YdfK	K	-
IODOLM_01454		Universal stress protein F	T	-
IODOLM_01455	ompN	porin OmpN	M	ko01501,ko02020,map01501,map02020
IODOLM_01457		hypothetical protein	S	-
IODOLM_01458		DUF306 domain-containing protein	O	-
IODOLM_01459	ldhA	D-lactate dehydrogenase	CH	ko00620,ko01120,map00620,map01120
IODOLM_01460	ydbH	Uncharacterized protein YdbH	S	-
IODOLM_01463	feaR	Transcriptional activator FeaR	K	-
IODOLM_01464	feaB	phenylacetaldehyde dehydrogenase	C	ko00360,ko00643,ko01100,ko01120,map00360,map00643,map01100,map01120
IODOLM_01465		Primary amine oxidase	Q	ko00260,ko00350,ko00360,ko00410,ko00950,ko00960,ko01100,ko01110,map00260,map00350,map00360,map00410,map00950,map00960,map01100,map01110
IODOLM_01471		3-ketosteroid-9-alpha-hydroxylase reductase subunit	C	ko00360,ko01120,map00360,map01120
IODOLM_01473		Enoyl-CoA hydratase	I	ko00360,ko01120,map00360,map01120
IODOLM_01474		3-hydroxyacyl-CoA dehydrogenase	I	ko00360,ko00362,ko00650,ko01100,ko01120,map00360,map00362,map00650,map01100,map01120
IODOLM_01476	paaJ	bifunctional 3-oxoadipyl-CoA/3-oxo-5,6-dehydrosuberyl-CoA thiolase	I	ko00071,ko00072,ko00280,ko00281,ko00310,ko00360,ko00362,ko00380,ko00592,ko00620,ko00630,ko00640,ko00642,ko00650,ko00720,ko00900,ko01100,ko01110,ko01120,ko01130,ko01200,ko01212,ko02020,map00071,map00072,map00280,map00281,map00310,map00360,map00362,map00380,map00592,map00620,map00630,map00640,map00642,map00650,map00720,map00900,map01100,map01110,map01120,map01130,map01200,map01212,map02020
IODOLM_01480		hypothetical protein	U	-
IODOLM_01481	tnp	IS3 family IS2 transposase ORF B	L	-
IODOLM_01482	tnp	IS3 family IS2 transposase ORF A	L	-
IODOLM_01486	ydbD	Uncharacterized protein YdbD	S	-
IODOLM_01487		CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase	I	ko00564,ko01100,map00564,map01100
IODOLM_01488	ynbB	Uncharacterized protein YnbB	S	ko00564,ko01100,ko01110,ko04070,map00564,map01100,map01110,map04070
IODOLM_01489	ynbC	Uncharacterized protein YnbC	I	-
IODOLM_01490	ynbD	Uncharacterized protein YnbD	IT	-
IODOLM_01491	azoR	FMN-dependent NADH-azoreductase	I	-
IODOLM_01492	hrpA	ATP-dependent RNA helicase HrpA	L	-
IODOLM_01494		Lactaldehyde dehydrogenase	C	ko00620,ko00630,ko01120,map00620,map00630,map01120
IODOLM_01495		hypothetical protein	G	ko00010,ko00710,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,ko04066,ko05010,map00010,map00710,map01100,map01110,map01120,map01130,map01200,map01230,map04066,map05010
IODOLM_01496		hypothetical protein	G	ko00010,ko00710,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,ko04066,ko05010,map00010,map00710,map01100,map01110,map01120,map01130,map01200,map01230,map04066,map05010
IODOLM_01497		hypothetical protein	G	ko00010,ko00710,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,ko04066,ko05010,map00010,map00710,map01100,map01110,map01120,map01130,map01200,map01230,map04066,map05010
IODOLM_01498	cybB	Superoxide oxidase CybB	C	-
IODOLM_01499		hypothetical protein	-	-
IODOLM_01502		DNA-binding transcriptional regulator	K	-
IODOLM_01504	opgD	glucan biosynthesis protein OpgD	P	-
IODOLM_01505	ydcH	Uncharacterized protein YdcH	S	-
IODOLM_01506		Ribosomal-protein-serine acetyltransferase	J	-
IODOLM_01507	ydcK	Uncharacterized acetyltransferase YdcK	S	-
IODOLM_01508	tehA	Tellurite resistance protein TehA	P	-
IODOLM_01509		Tellurite methyltransferase	Q	-
IODOLM_01510	ydcL	Uncharacterized lipoprotein YdcL	M	-
IODOLM_01516		hypothetical protein	S	-
IODOLM_01517	hicA	type II toxin-antitoxin system mRNA interferase toxin HicA	J	-
IODOLM_01518	hicB	type II toxin-antitoxin system antitoxin HicB	K	-
IODOLM_01520		Spermidine/putrescine ABC transporter substrate-binding protein	P	ko02024,map02024
IODOLM_01524		Gamma-aminobutyraldehyde dehydrogenase 2	C	ko00330,ko00410,ko01100,map00330,map00410,map01100
IODOLM_01525	ortT	orphan toxin OrtT	S	-
IODOLM_01526		DUF2526 domain-containing protein	S	-
IODOLM_01527	ydcZ	Inner membrane protein YdcZ	S	ko02024,map02024
IODOLM_01528	mddA	L-methionine sulfoximine/L-methionine sulfone acetyltransferase	M	ko00440,ko01130,map00440,map01130
IODOLM_01530	mcbR	colanic acid/biofilm transcriptional regulator McbR	K	-
IODOLM_01531		Colicin I receptor	P	-
IODOLM_01532	yncE	Uncharacterized protein YncE	S	-
IODOLM_01534	yncG	Uncharacterized GST-like protein YncG	O	-
IODOLM_01539	tnp	ISAs1 family ISEc5 transposase	L	-
IODOLM_01540	pptA	Tautomerase PptA	S	ko00362,ko00621,ko00622,ko01100,ko01120,ko01220,map00362,map00621,map00622,map01100,map01120,map01220
IODOLM_01541	yddH	Uncharacterized protein YddH	S	-
IODOLM_01542		N-hydroxyarylamine O-acetyltransferase	Q	-
IODOLM_01543	yddE	Uncharacterized isomerase YddE	S	-
IODOLM_01544		Respiratory nitrate reductase 2 gamma chain	C	ko00910,ko01120,ko02020,map00910,map01120,map02020
IODOLM_01545	narW	putative nitrate reductase molybdenum cofactor assembly chaperone NarW	C	ko02020,map02020
